"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 신천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","150.7500","202512","31","577,000","45","법인","법인","2017","올림픽로 300","-","중개거래","서울 송파구"
"2","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","252.8300","202512","15","1,010,000","63","법인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"3","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","252.9100","202511","20","1,150,000","61","법인","개인","2017","올림픽로 300","-","중개거래","서울 서초구"
"4","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","489.7900","202510","27","2,100,000","68","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"5","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","225.3600","202510","16","865,000","66","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"6","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","181.3900","202509","19","610,000","55","법인","개인","2017","올림픽로 300","-","중개거래","서울 강남구"
"7","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","202.3000","202509","04","683,363","56","법인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"8","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","204.1200","202508","22","690,000","45","법인","개인","2017","올림픽로 300","-","중개거래","대전 서구, 서울 강남구"
"9","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","236.0100","202507","25","940,000","66","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"10","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","222.3300","202506","12","850,000","67","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"11","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","237.1800","202505","23","995,000","64","법인","개인","2017","올림픽로 300","-","중개거래","서울 강남구"
"12","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","188.0200","202505","23","610,000","56","개인","개인","2017","올림픽로 300","-","중개거래","서울 강남구"
"13","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","192.6400","202504","22","555,000","51","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"14","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","189.8600","202504","22","605,000","50","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"15","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","154.5800","202504","07","560,000","44","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구, 서울 중구"
"16","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","206.6000","202503","17","698,500","47","법인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
"17","서울특별시 송파구 신천동","29","0029","0000","롯데월드타워앤드롯데월드몰","200.7200","202502","14","845,849","50","개인","법인","2017","올림픽로 300","-","중개거래","서울 강남구"
